id,proj_title,currency,value,update_count,publishing_status,status,funded,Organisation,created_at
16,Rehabilitation of Water Catchment,EUR,"20,854.00",18,published,Completed,"20,854.00",16,2008-07-15
17,Training on Rope Pump Manufacture ,EUR,"10,469.00",4,published,Completed,"10,469.00",43,2008-07-16
18,Marketing Ecological Sanitation,EUR,"18,000.00",3,published,Archived,"18,000.00",14,2008-07-16
19,Water Filter Production,EUR,"18,637.00",1,published,Archived,0.00,18,2008-07-16
20,Vocational Training Program,EUR,"14,921.00",3,published,Completed,"14,921.00",2,2008-07-16
21,Chlorination system for gravity water supply,EUR,"13,284.00",1,published,Archived,0.00,37,2008-07-17
22,Ecological Sanitation for Schools,EUR,"16,000.00",28,published,Completed,"16,000.00",13,2008-07-17
23,Staff Capacity Development ,EUR,"9,223.00",8,published,Completed,"9,223.00",34,2008-07-17
24,Ceramic Filter Production,EUR,"20,596.00",8,published,Completed,"20,596.00",22,2008-07-17
25,School Health and Sanitation ,EUR,"13,785.00",4,published,Completed,"13,785.11",7,2008-07-17
26,Promoting Sanitation and Hygiene ,EUR,"14,888.00",4,published,Completed,"14,888.00",25,2008-07-17
27,School Sanitation Implementation,EUR,"16,580.00",8,published,Completed,"16,580.00",26,2008-07-17
28,Rural School Sanitation,EUR,"10,327.00",3,published,Completed,"10,327.25",8,2008-07-17
29,Rainwater Harvesting,EUR,"12,539.00",6,published,Completed,0.00,28,2008-07-17
30,Training on Low-cost Manual Drilling ,EUR,"20,822.00",11,published,Completed,"20,822.00",39,2008-07-17
31,Rehabilitation Water System ,EUR,"12,800.00",5,published,Archived,"12,800.00",93,2008-07-17
33,Sanitation for Refugees,EUR,"19,000.00",2,published,Archived,0.00,32,2008-07-18
34,Water Supply Protection,EUR,"4,500.00",4,published,Archived,0.00,32,2008-07-18
35,Village Sanitation Initiative,EUR,"6,050.00",6,published,Archived,0.00,33,2008-07-18
37,Safe Sanitation for students,EUR,"35,040.00",1,published,Archived,"11,200.00",41,2008-07-29
38,Arsenic Filter Pilot,EUR,"21,995.00",20,published,Completed,"21,995.00",43,2008-08-10
39,Drinking water with Solarpump,EUR,"12,865.00",3,published,Completed,"12,865.00",48,2008-08-10
40,School Water and Sanitation,EUR,"8,500.00",1,published,Completed,"8,500.00",46,2008-08-10
41,Sanitation in a Refugee Camp,EUR,"13,500.00",18,published,Completed,"13,500.00",55,2008-08-11
42,School Sanitation Project,EUR,"10,700.00",11,published,Completed,"10,699.60",56,2008-11-04
43,Health and Hygiene Education,EUR,"11,398.00",7,published,Completed,"11,397.62",57,2008-11-04
44,Smart-technology Training Program,EUR,"14,680.00",2,published,Archived,0.00,57,2008-12-06
45,Composting Latrines Madagascar,EUR,"17,493.00",1,published,Archived,0.00,58,2008-12-17
46,The â€œLave mainâ€ for Schools,EUR,"1,365.00",5,published,Completed,"1,365.09",43,2008-12-18
47,Safe Drinking Water for Slum People,EUR,"8,000.00",34,published,Completed,"8,000.00",19,2009-01-15
49,Primary School Water and Sanitation,EUR,"6,962.00",6,published,Completed,"6,961.60",65,2009-01-27
50,Safe Drinking Water & Empowering Women,EUR,"11,740.00",5,published,Completed,"11,740.00",169,2009-01-27
51,Rehabilitation of 4 Wells & Pumps,EUR,"4,882.00",7,published,Completed,"4,882.00",65,2009-01-27
52,Women Empowerment Centre,EUR,"30,465.00",4,published,Archived,0.00,65,2009-01-28
53,Toilets and Water for Dumja,EUR,"29,644.00",6,published,Completed,"29,644.00",113,2009-02-15
54,Water and Sanitation for Mmanze,EUR,"24,882.00",16,published,Completed,"24,881.95",164,2009-02-15
55,Water Project Namelok,EUR,"10,550.00",3,published,Completed,"10,550.00",77,2009-02-16
56,Borehole Rehabilitation,EUR,"17,585.00",5,published,Completed,"17,584.86",79,2009-02-16
57,School Water and Sanitation ,EUR,"13,610.00",7,published,Completed,"13,610.00",113,2009-02-16
59,Multi-Instit. Decentralized Drinking Water,EUR,"202,200.00",1,published,Completed,"202,200.00",184,2009-02-20
60,Water & Sanitation for Bohol,EUR,"50,574.00",19,published,Completed,"50,574.00",89,2009-02-25
61,Drinking Water School Ban Nalau,EUR,"4,500.00",4,published,Completed,"4,499.95",52,2009-02-26
62,AMREF Kajiado Boreholes Project,EUR,"12,971.00",14,published,Completed,"12,971.00",94,2009-03-03
63,Drinking Water School Ban Tja Luai,EUR,"4,500.00",3,published,Completed,"4,500.21",91,2009-03-10
66,"WaterPyramid for Kaolack, Senegal",EUR,"95,000.00",2,published,Archived,"95,000.36",102,2009-05-25
69,Clean Water in Rwanda ,EUR,"18,000.00",13,published,Completed,"18,000.42",101,2009-06-19
72,TRIANGLE project,EUR,"7,580.00",4,published,Completed,"7,580.00",109,2009-07-22
73,Elephant pumps and toilets in Northern Malawi,EUR,"5,806.00",5,published,Completed,"5,806.00",110,2009-07-30
74,Elephant toilets in rural Liberia,EUR,"5,020.00",2,published,Completed,"5,019.58",110,2009-07-30
75,Hydraulic Ram Pumps for Colombia - phase 1,EUR,"22,500.00",3,published,Completed,"22,499.65",227,2009-08-11
76,Healthy Drinking Water in Ngudwini ,EUR,"24,073.00",0,published,Completed,"24,073.03",105,2009-08-12
81,Rehabilitation of water points in Niger,EUR,"25,542.00",1,published,Archived,0.00,15,2009-09-17
83,Water filter introduction Cameroon,EUR,"29,646.00",1,published,Archived,0.00,22,2009-09-18
84,Clean Water for Orphans Project - China,EUR,"21,379.00",1,published,Archived,"21,379.00",123,2009-09-23
85,Water Pumps in Zimbabwe,EUR,"5,481.00",1,published,Archived,0.00,110,2009-09-24
86,Health Centre WASH (HC WASH) ,EUR,"23,900.00",1,published,Archived,"7,948.00",129,2009-09-25
