Time,rsr-backend - administrativelocation-list,rsr-backend - budgetitem-list,rsr-backend - country-list,rsr-backend - countrybudgetitem-list,rsr-backend - current_user,rsr-backend - disaggregation-list,rsr-backend - disaggregationtarget-list,rsr-backend - employment-list,rsr-backend - humanitarianscope-list,rsr-backend - iatiexport-list,rsr-backend - indicator_period_data_framework-detail,rsr-backend - indicator_period_data_framework-list,rsr-backend - indicator_previous_cumulative_update,rsr-backend - indicatordimensionname-list,rsr-backend - indicatordimensionvalue-list,rsr-backend - indicatordisaggregationtarget-list,rsr-backend - indicatorperiod-list,rsr-backend - indicatorperioddata-list,rsr-backend - indicatorperioddatacomment-list,rsr-backend - link-list,rsr-backend - my_projects-list,rsr-backend - org-iati,rsr-backend - organisation-directory,rsr-backend - organisation-list,rsr-backend - organisation-main,rsr-backend - organisation_typeahead,rsr-backend - partnership-list,rsr-backend - partnership_more_link-list,rsr-backend - policymarker-list,rsr-backend - project-detail,rsr-backend - project-dir-translations,rsr-backend - project-directory,rsr-backend - project-iati,rsr-backend - project-list,rsr-backend - project-main,rsr-backend - project_by_uuid-list,rsr-backend - project_directory,rsr-backend - project_extra-list,rsr-backend - project_location_geojson,rsr-backend - project_up-list,rsr-backend - project_update-list,rsr-backend - projectcontact-list,rsr-backend - projectcustomfield-list,rsr-backend - projectdocument-list,rsr-backend - projectlocation-list,rsr-backend - projects-iati,rsr-backend - projects_by_id,rsr-backend - prometheus-django-metrics,rsr-backend - publishingstatus-list,rsr-backend - recipientcountry-list,rsr-backend - recipientregion-list,rsr-backend - result-list,rsr-backend - results_framework-list,rsr-backend - rss_project_updates,rsr-backend - sector-list,rsr-backend - sector_code_list,rsr-backend - transaction-list,rsr-backend - unknown,rsr-backend - update-directory,rsr-backend - update-main,rsr-backend - widget_cobranded_banner,rsr-backend - widget_project_narrow,rsr-backend - widget_project_small,rsr-reports - prometheus-django-metrics
2025-08-28 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.53515625
2025-08-28 02:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.98828125
2025-08-28 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.95703125
2025-08-28 03:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.8671875
2025-08-28 03:30:00,,,,,,,,,,,,,,,,,,,,,,324.1796875,,,332.828125,,,,,,,,,,,,,,,,,,340.12890625,,,339.078125,,,,,,,,,,,,,,,,,,357.1171875
2025-08-28 03:45:00,,,,,,,,,,,,,,468.90234375,547.421875,,,,,,,545.16796875,,,,,,,,,,,,763.16796875,273.92578125,,,,,,,,,,345.5859375,323.328125,,318.6328125,,,,,,,,,,526.140625,,546.32421875,,,,308.30859375
2025-08-28 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.61328125
2025-08-28 04:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.56640625
2025-08-28 04:30:00,,,,,,595.515625,,,,596.68359375,,,,,616.5703125,,,,,,,584.078125,,591.05859375,605.765625,,,,,,,,,,,733.69921875,,,,,,,597.9140625,,583.1328125,616.6953125,,598.98046875,,,,,,,597.52734375,,602.9453125,603.08203125,,600.015625,,,,328.3359375
2025-08-28 04:45:00,407.62109375,,,,,,,,,,,,,,986.609375,,,,,,,986.3671875,,977.609375,,,,,,,,,,,353.05859375,,,,,978.10546875,,,393.55078125,,399.76953125,409.54296875,,986.22265625,,,,,,,,,,402.02734375,,979.24609375,,,,314.2265625
2025-08-28 05:00:00,,,,,,,422.78515625,,,,,,,,426.76171875,,,,,,,419.96875,,,420.5234375,,,,,,,,,,,,,,,,,,319.50390625,,,323.90234375,,419.4609375,,,,,,,,,,,,,,,,351.01953125
2025-08-28 05:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.125
2025-08-28 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.41015625
