Time,rsr-backend - dict objects,rsr-backend - list objects,rsr-reports - dict objects,rsr-reports - list objects
2025-08-31 08:30:00,,,46152.0,28048.0
2025-08-31 08:45:00,,,,
2025-08-31 09:00:00,,,,
2025-08-31 09:15:00,,,46110.0,28004.0
2025-08-31 09:30:00,,,,
2025-08-31 09:45:00,,,,
2025-08-31 10:00:00,,,,
2025-08-31 10:15:00,,,46097.0,28034.0
2025-08-31 10:30:00,,,46150.0,28042.0
2025-08-31 10:45:00,,,,
2025-08-31 11:00:00,,,,
2025-08-31 11:15:00,,,,
2025-08-31 11:30:00,,,46147.0,28040.0
2025-08-31 11:45:00,,,46097.0,28034.0
2025-08-31 12:00:00,,,46098.0,28036.0
2025-08-31 12:15:00,,,46097.0,28034.0
2025-08-31 12:30:00,,,46150.0,28122.0
2025-08-31 12:45:00,45852.0,18461.0,46097.0,28035.0
2025-08-31 13:00:00,,,46097.0,28035.0
2025-08-31 13:15:00,,,46147.0,28038.0
2025-08-31 13:30:00,46902.0,28465.0,46150.0,28043.0
2025-08-31 13:45:00,,,,
2025-08-31 14:00:00,,,46098.0,27997.0
2025-08-31 14:15:00,,,46148.0,28121.0
